date, Income, L2020, L2030, L2040, L2050, G, F, C, S, I
4/5/2019,20.4062,28.1033,32.3999,35.3621,20.5186,16.1048,18.6228,41.7117,52.2951,30.0002
4/4/2019,20.3877,28.0699,32.3212,35.2596,20.4507,16.1037,18.6053,41.5188,51.872,29.9679
4/3/2019,20.3849,28.0658,32.3148,35.2523,20.4464,16.1026,18.5942,41.4234,51.8285,30.0589
4/2/2019,20.3621,28.0229,32.208,35.1126,20.3535,16.1015,18.6242,41.3338,51.5603,29.7338
4/1/2019,20.3607,28.0215,32.2087,35.1144,20.3552,16.1004,18.6089,41.3319,51.6151,29.737
3/29/2019,20.3161,27.9324,31.9949,34.8362,20.171,16.0992,18.6777,40.8589,51.0083,29.4096
3/28/2019,20.2885,27.8802,31.8784,34.6864,20.0729,16.0955,18.6955,40.584,50.7776,29.2442
3/27/2019,20.2828,27.8694,31.8532,34.6531,20.0502,16.0943,18.7072,40.4325,50.3422,29.3937
3/26/2019,20.2922,27.8899,31.9076,34.7247,20.0982,16.0931,18.6686,40.6206,50.5769,29.4015
3/25/2019,20.2584,27.8248,31.758,34.5308,19.9704,16.0919,18.6585,40.3313,50.1025,29.1728
3/22/2019,20.2563,27.8246,31.7687,34.5466,19.9816,16.0882,18.616,40.3623,50.0398,29.2352
3/21/2019,20.3301,27.9737,32.1324,35.0233,20.2993,16.087,18.5326,41.1396,51.6121,29.6904
3/20/2019,20.2941,27.904,31.9714,34.8142,20.1612,16.0858,18.5202,40.6933,50.9036,29.6298
3/19/2019,20.3068,27.9322,32.0476,34.9155,20.2297,16.0846,18.4548,40.8118,51.2388,29.7996
3/18/2019,20.3029,27.9252,32.0337,34.8987,20.2195,16.0834,18.4609,40.8156,51.4784,29.6783
3/15/2019,20.2803,27.8836,31.9436,34.7828,20.1433,16.0797,18.4552,40.6644,51.1822,29.5254
3/14/2019,20.2528,27.8318,31.8283,34.6347,20.0468,16.0785,18.4211,40.4607,51.0778,29.281
3/13/2019,20.2509,27.8282,31.8201,34.6245,20.0402,16.0773,18.4437,40.4825,51.1751,29.1916
3/12/2019,20.2264,27.7808,31.7114,34.4842,19.9481,16.0761,18.4492,40.2001,50.9246,29.073
3/11/2019,20.213,27.7568,31.6628,34.4227,19.9087,16.0749,18.4032,40.0798,50.8317,29.0374
3/8/2019,20.1542,27.6438,31.4049,34.0895,19.6895,16.0712,18.4127,39.5004,50.0195,28.7214
3/7/2019,20.1641,27.6645,31.4569,34.1576,19.7347,16.07,18.401,39.5806,50.1115,28.8526
3/6/2019,20.2001,27.7378,31.6362,34.3915,19.8897,16.0688,18.35,39.8964,50.489,29.2467
3/5/2019,20.2192,27.7771,31.7351,34.5225,19.978,16.0676,18.3252,40.1568,51.2714,29.2395
3/4/2019,20.2249,27.7894,31.7669,34.5649,20.0065,16.0664,18.3226,40.2007,51.4525,29.2958
3/1/2019,20.2314,27.8061,31.8175,34.6335,20.0535,16.0627,18.2883,40.3567,51.8924,29.279
2/28/2019,20.2103,27.7642,31.7178,34.5038,19.9677,16.0616,18.3244,40.0779,51.5392,29.2023
2/27/2019,20.2211,27.7858,31.7697,34.5717,20.0126,16.0605,18.3367,40.1799,51.7294,29.2745
2/26/2019,20.2218,27.7861,31.7667,34.5666,20.008,16.0593,18.3851,40.1951,51.5001,29.2764
2/25/2019,20.2211,27.7867,31.7745,34.5785,20.0173,16.0582,18.3542,40.227,51.792,29.229
2/22/2019,20.2091,27.7654,31.7307,34.5231,19.9813,16.0547,18.3623,40.1717,51.7574,29.1096
2/21/2019,20.185,27.72,31.6296,34.3924,19.8953,16.0536,18.3258,39.9147,51.2724,29.0733
